Set Name,Set Code,Release Date,Total Cards,Pack Name,Card Name,Card Number,Rarity
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Petilil,1,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Lilligant,2,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Rowlet,3,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Dartrix,4,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Decidueye,5,Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Buzzwole ex,6,Ultra Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Pheromosa,7,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Kartana,8,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Blacephalon,9,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Mantine,10,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Carvanha,11,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Sharpedo,12,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Shinx,13,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Luxio,14,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Luxray,15,Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Blitzle,16,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Zebstrika,17,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Emolga,18,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Tapu Koko ex,19,Ultra Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Xurkitree,20,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Zeraora,21,Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Clefairy,22,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Clefable,23,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Phantump,24,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Trevenant,25,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Morelull,26,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Shiinotic,27,Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Meditite,28,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Medicham,29,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Baltoy,30,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Claydol,31,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Rockruff,32,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Lycanroc ex,33,Ultra Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Passimian,34,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Sandygast,35,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Palossand,36,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Alolan Meowth,37,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Alolan Persian,38,Uncommon
